text,choose_one,class_label
Just happened a terrible car crash,Relevant,1
Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all,Relevant,1
"Heard about #earthquake is different cities, stay safe everyone.",Relevant,1
"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all",Relevant,1
Forest fire near La Ronge Sask. Canada,Relevant,1
All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected,Relevant,1
"13,000 people receive #wildfires evacuation orders in California ",Relevant,1
Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,Relevant,1
#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,Relevant,1
Apocalypse lighting. #Spokane #wildfires,Relevant,1
"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",Relevant,1
Typhoon Soudelor kills 28 in China and Taiwan,Relevant,1
We're shaking...It's an earthquake,Relevant,1
I'm on top of the hill and I can see a fire in the woods...,Relevant,1
There's an emergency evacuation happening now in the building across the street,Relevant,1
I'm afraid that the tornado is coming to our area...,Relevant,1
Three people died from the heat wave so far,Relevant,1
Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,Relevant,1
#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ,Relevant,1
#Flood in Bago Myanmar #We arrived Bago,Relevant,1
Damage to school bus on 80 in multi car crash #BREAKING ,Relevant,1
"They'd probably still show more life than Arsenal did yesterday, eh? EH?",Not Relevant,0
Hey! How are you?,Not Relevant,0
What's up man?,Not Relevant,0
I love fruits,Not Relevant,0
Summer is lovely,Not Relevant,0
My car is so fast,Not Relevant,0
What a nice hat?,Not Relevant,0
What a goooooooaaaaaal!!!!!!,Not Relevant,0
Fuck off!,Not Relevant,0
No I don't like cold!,Not Relevant,0
this is ridiculous....,Not Relevant,0
London is cool ;),Not Relevant,0
Love skiing,Not Relevant,0
What a wonderful day!,Not Relevant,0
NOOOOOOOOO! Don't do that!,Not Relevant,0
LOOOOOOL,Not Relevant,0
No way...I can't eat that shit,Not Relevant,0
Was in NYC last week!,Not Relevant,0
Love my girlfriend,Not Relevant,0
Cooool :),Not Relevant,0
Do you like pasta?,Not Relevant,0
No don't tell me that!,Not Relevant,0
What if?!,Not Relevant,0
The end!,Not Relevant,0
Awesome!,Not Relevant,0
Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU,Relevant,1
@sunkxssedharry will you wear shorts for race ablaze ?,Not Relevant,0
@bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C,Relevant,1
We always try to bring the heavy. #metal #RT http://t.co/YAo1e0xngw,Not Relevant,0
#AFRICANBAZE: Breaking news:Nigeria flag set ablaze in Aba. http://t.co/2nndBGwyEi,Relevant,1
#PreviouslyOnDoyinTv: Toke Makinwa s marriage crisis sets Nigerian Twitter ablaze... http://t.co/CMghxBa2XI,Not Relevant,0
Crying out for more! Set me ablaze,Not Relevant,0
On plus side LOOK AT THE SKY LAST NIGHT IT WAS ABLAZE http://t.co/qqsmshaJ3N,Not Relevant,0
@PhDSquares #mufc they've built so much hype around new acquisitions but I doubt they will set the EPL ablaze this season.,Not Relevant,0
INEC Office in Abia Set Ablaze - http://t.co/3ImaomknnA,Relevant,1
text,choose_one,class_label
Just happened a terrible car crash,Relevant,1
Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all,Relevant,1
"Heard about #earthquake is different cities, stay safe everyone.",Relevant,1
"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all",Relevant,1
Forest fire near La Ronge Sask. Canada,Relevant,1
All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected,Relevant,1
"13,000 people receive #wildfires evacuation orders in California ",Relevant,1
Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,Relevant,1
#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,Relevant,1
Apocalypse lighting. #Spokane #wildfires,Relevant,1
"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",Relevant,1
Typhoon Soudelor kills 28 in China and Taiwan,Relevant,1
We're shaking...It's an earthquake,Relevant,1
I'm on top of the hill and I can see a fire in the woods...,Relevant,1
There's an emergency evacuation happening now in the building across the street,Relevant,1
I'm afraid that the tornado is coming to our area...,Relevant,1
Three people died from the heat wave so far,Relevant,1
Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,Relevant,1
#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ,Relevant,1
#Flood in Bago Myanmar #We arrived Bago,Relevant,1
Damage to school bus on 80 in multi car crash #BREAKING ,Relevant,1
"They'd probably still show more life than Arsenal did yesterday, eh? EH?",Not Relevant,0
Hey! How are you?,Not Relevant,0
What's up man?,Not Relevant,0
I love fruits,Not Relevant,0
Summer is lovely,Not Relevant,0
My car is so fast,Not Relevant,0
What a nice hat?,Not Relevant,0
What a goooooooaaaaaal!!!!!!,Not Relevant,0
Fuck off!,Not Relevant,0
No I don't like cold!,Not Relevant,0
this is ridiculous....,Not Relevant,0
London is cool ;),Not Relevant,0
Love skiing,Not Relevant,0
What a wonderful day!,Not Relevant,0
NOOOOOOOOO! Don't do that!,Not Relevant,0
LOOOOOOL,Not Relevant,0
No way...I can't eat that shit,Not Relevant,0
Was in NYC last week!,Not Relevant,0
Love my girlfriend,Not Relevant,0
Cooool :),Not Relevant,0
Do you like pasta?,Not Relevant,0
No don't tell me that!,Not Relevant,0
What if?!,Not Relevant,0
